Blackjack Strategic Options
Dealer's up card: 2. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 3. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 4. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 5. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 6. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 7. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 8. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 9. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 10. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: A. Your hand (face value): 17+. Optimal play: Stay.
Dealer's up card: 2. Your hand (face value): 16. Optimal play: Stay.
Dealer's up card: 3. Your hand (face value): 16. Optimal play: Stay.
Dealer's up card: 4. Your hand (face value): 16. Optimal play: Stay.
Dealer's up card: 5. Your hand (face value): 16. Optimal play: Stay.
Dealer's up card: 6. Your hand (face value): 16. Optimal play: Stay.
Dealer's up card: 7. Your hand (face value): 16. Optimal play: Hit.
Dealer's up card: 8. Your hand (face value): 16. Optimal play: Hit.
Dealer's up card: 9. Your hand (face value): 16. Optimal play: Hit.
Dealer's up card: 10. Your hand (face value): 16. Optimal play: Hit.
Dealer's up card: A. Your hand (face value): 16. Optimal play: Hit.
Dealer's up card: 2. Your hand (face value): 15. Optimal play: Stay.
Dealer's up card: 3. Your hand (face value): 15. Optimal play: Stay.
Dealer's up card: 4. Your hand (face value): 15. Optimal play: Stay.
Dealer's up card: 5. Your hand (face value): 15. Optimal play: Stay.
Dealer's up card: 6. Your hand (face value): 15. Optimal play: Stay.
Dealer's up card: 7. Your hand (face value): 15. Optimal play: Hit.
Dealer's up card: 8. Your hand (face value): 15. Optimal play: Hit.
Dealer's up card: 9. Your hand (face value): 15. Optimal play: Hit.
Dealer's up card: 10. Your hand (face value): 15. Optimal play: Hit.
Dealer's up card: A. Your hand (face value): 15. Optimal play: Hit.
Dealer's up card: 2. Your hand (face value): 14. Optimal play: Stay.
Dealer's up card: 3. Your hand (face value): 14. Optimal play: Stay.
Dealer's up card: 4. Your hand (face value): 14. Optimal play: Stay.
Dealer's up card: 5. Your hand (face value): 14. Optimal play: Stay.
Dealer's up card: 6. Your hand (face value): 14. Optimal play: Stay.
Dealer's up card: 7. Your hand (face value): 14. Optimal play: Hit.
Dealer's up card: 8. Your hand (face value): 14. Optimal play: Hit.
Dealer's up card: 9. Your hand (face value): 14. Optimal play: Hit.
Dealer's up card: 10. Your hand (face value): 14. Optimal play: Hit.
Dealer's up card: A. Your hand (face value): 14. Optimal play: Hit.
Dealer's up card: 2. Your hand (face value): 13. Optimal play: Stay.
